时间,鸿旺,欧伦
2026-06-16 00:00:00,0.0,0.0
2026-06-16 00:15:00,0.0,0.0
2026-06-16 00:30:00,0.0,0.0
2026-06-16 00:45:00,0.0,0.0
2026-06-16 01:00:00,0.0,0.0
2026-06-16 01:15:00,0.0,0.0
2026-06-16 01:30:00,0.0,0.0
2026-06-16 01:45:00,0.0,0.0
2026-06-16 02:00:00,0.0,0.0
2026-06-16 02:15:00,0.0,0.0
2026-06-16 02:30:00,0.0,0.0
2026-06-16 02:45:00,0.0,0.0
2026-06-16 03:00:00,0.0,0.0
2026-06-16 03:15:00,0.0,0.0
2026-06-16 03:30:00,0.0,0.0
2026-06-16 03:45:00,0.0,0.0
2026-06-16 04:00:00,0.0,0.0
2026-06-16 04:15:00,0.0,0.0
2026-06-16 04:30:00,0.0,0.0
2026-06-16 04:45:00,0.00045,0.00029
2026-06-16 05:00:00,0.0005,0.00035
2026-06-16 05:15:00,0.00208,0.00185
2026-06-16 05:30:00,0.01393,0.01534
2026-06-16 05:45:00,0.02889,0.02818
2026-06-16 06:00:00,0.0695,0.06581
2026-06-16 06:15:00,0.0323,0.03723
2026-06-16 06:30:00,0.04959,0.05748
2026-06-16 06:45:00,0.05368,0.05785
2026-06-16 07:00:00,0.13015,0.08773
2026-06-16 07:15:00,0.26342,0.2739
2026-06-16 07:30:00,0.27783,0.2928
2026-06-16 07:45:00,0.67819,0.68067
2026-06-16 08:00:00,0.32926,0.32348
2026-06-16 08:15:00,0.35436,0.37793
2026-06-16 08:30:00,0.15926,0.15833
2026-06-16 08:45:00,0.3646,0.3825
2026-06-16 09:00:00,0.2633,0.27051
2026-06-16 09:15:00,0.69427,0.72678
2026-06-16 09:30:00,0.54251,0.55044
2026-06-16 09:45:00,,
2026-06-16 10:00:00,,
2026-06-16 10:15:00,,
2026-06-16 10:30:00,,
2026-06-16 10:45:00,,
2026-06-16 11:00:00,,
2026-06-16 11:15:00,,
2026-06-16 11:30:00,,
2026-06-16 11:45:00,,
2026-06-16 12:00:00,,
2026-06-16 12:15:00,,
2026-06-16 12:30:00,,
2026-06-16 12:45:00,,
2026-06-16 13:00:00,,
2026-06-16 13:15:00,,
2026-06-16 13:30:00,,
2026-06-16 13:45:00,,
2026-06-16 14:00:00,,
2026-06-16 14:15:00,,
2026-06-16 14:30:00,,
2026-06-16 14:45:00,,
2026-06-16 15:00:00,,
2026-06-16 15:15:00,,
2026-06-16 15:30:00,,
2026-06-16 15:45:00,,
2026-06-16 16:00:00,,
2026-06-16 16:15:00,,
2026-06-16 16:30:00,,
2026-06-16 16:45:00,,
2026-06-16 17:00:00,,
2026-06-16 17:15:00,,
2026-06-16 17:30:00,,
2026-06-16 17:45:00,,
2026-06-16 18:00:00,,
2026-06-16 18:15:00,,
2026-06-16 18:30:00,,
2026-06-16 18:45:00,,
2026-06-16 19:00:00,,
2026-06-16 19:15:00,,
2026-06-16 19:30:00,,
2026-06-16 19:45:00,,
2026-06-16 20:00:00,,
2026-06-16 20:15:00,,
2026-06-16 20:30:00,,
2026-06-16 20:45:00,,
2026-06-16 21:00:00,,
2026-06-16 21:15:00,,
2026-06-16 21:30:00,,
2026-06-16 21:45:00,,
2026-06-16 22:00:00,,
2026-06-16 22:15:00,,
2026-06-16 22:30:00,,
2026-06-16 22:45:00,,
2026-06-16 23:00:00,,
2026-06-16 23:15:00,,
2026-06-16 23:30:00,,
2026-06-16 23:45:00,,
